,seriesX,seriesY,correlation,spread_adf_stat,spread_adf_pValue,spread_stationary,series_coint_stat,series_coint_pValue,series_cointegrated
80,GOOG,GOOGL,0.999931203859661,-4.971936661251836,2.5213449192845684e-05,True,-4.976339020915687,0.00018194614236503032,True
116,META,DAXEX_ETF,0.8889337720638574,-2.9170556231909153,0.043400305500198216,True,-3.4830907856086593,0.033924080856113564,True
262,AMZN,BNBUSDT,0.8770594032760689,-3.6312027820012864,0.0051917649734204135,True,-3.5451001182989486,0.02860135252191768,True
267,AMZN,TRXUSDT,0.8145771184418452,-3.8698034566448363,0.002268664915052243,True,-3.387413056082663,0.043767854187383944,True
351,SPY_ETF,AVAXUSDT,0.8472923204503413,-3.3099272323621856,0.014440516780123158,True,-3.698511628322435,0.01840628661984892,True
355,SPY_ETF,ETHUSDT,0.8624829848654049,-3.4282050126494004,0.010034129796390484,True,-3.7373670695307295,0.016394053198517507,True
392,EQQQ_ETF,BNBUSDT,0.8860597127856614,-3.8164036714658134,0.002743873052971386,True,-3.670508532914267,0.019987337194442602,True
428,BNBUSDT,ADAUSDT,0.9014593048354876,-3.2795038074829677,0.015819886052251195,True,-3.775562417325595,0.014606972772242032,True
430,BNBUSDT,BTCUSDT,0.8846044098034004,-2.9099612937239687,0.04420183644696938,True,-3.393159964649215,0.043115888512479175,True
434,BNBUSDT,TRXUSDT,0.9335624323221642,-3.6563802657289024,0.004770260364772408,True,-4.0036752087607335,0.0070951314536140345,True
436,BNBUSDT,XRPUSDT,0.9190043716190478,-3.3808779711095673,0.01162827129229584,True,-4.05451610076687,0.005995159541210729,True
