pair,algorithm,base_mse,data_points,features,time_taken,memory_used
META DAXEX_ETF,ridge,0.0027577284471184955,1145,15,0.0017888545989990234,0.0
META DAXEX_ETF,xgb,0.03570224761232938,1145,15,0.17126679420471191,0.0
META DAXEX_ETF,rnn,0.028946046772586748,1145,15,5.679417848587036,-8.20703125
META DAXEX_ETF,lstm,0.04171354913216602,1145,15,7.541586875915527,15.05078125
META DAXEX_ETF,transformer,0.052908533834185555,1145,15,10.363809585571289,289.265625
AMZN BNBUSDT,ridge,0.0011931943481138364,4991,16,0.006103515625,0.0
AMZN BNBUSDT,xgb,0.006103934627503029,4991,16,0.062012672424316406,1.0
AMZN BNBUSDT,rnn,0.003205524436641658,4991,16,17.04102873802185,45.390625
AMZN BNBUSDT,lstm,0.003938097199872134,4991,16,33.03486394882202,6.63671875
AMZN BNBUSDT,transformer,0.018338625520707568,4991,16,16.437440156936646,193.30859375
AMZN TRXUSDT,ridge,0.0003760400809604557,4991,9,0.0013344287872314453,0.0
AMZN TRXUSDT,xgb,0.0007059609803857394,4991,9,0.06049823760986328,0.0
AMZN TRXUSDT,rnn,0.002074801249453278,4991,9,17.771432876586914,-126.65625
AMZN TRXUSDT,lstm,0.0014770513945064935,4991,9,29.415754556655884,11.8984375
AMZN TRXUSDT,transformer,0.012444670330016762,4991,9,14.321014165878296,158.89453125
SPY_ETF AVAXUSDT,ridge,0.008768633030679785,4997,21,0.002168893814086914,0.0
SPY_ETF AVAXUSDT,xgb,0.4480243307619005,4997,21,0.0584414005279541,0.0
SPY_ETF AVAXUSDT,rnn,0.03191271478740018,4997,21,19.46363639831543,66.19140625
SPY_ETF AVAXUSDT,lstm,0.032838726517545616,4997,21,33.25842547416687,0.07421875
SPY_ETF AVAXUSDT,transformer,0.06866802481423469,4997,21,16.899650812149048,332.73828125
SPY_ETF ETHUSDT,ridge,0.0008937769937568699,4997,16,0.0014653205871582031,0.0
SPY_ETF ETHUSDT,xgb,0.001256516216937038,4997,16,0.05659794807434082,0.0
SPY_ETF ETHUSDT,rnn,0.0024271910302139195,4997,16,16.410555839538574,10.140625
SPY_ETF ETHUSDT,lstm,0.00209202453097246,4997,16,33.12888765335083,-76.140625
SPY_ETF ETHUSDT,transformer,0.010251880965242577,4997,16,15.734636783599854,230.953125
EQQQ_ETF BNBUSDT,ridge,0.0007624254684798633,3217,13,0.0012743473052978516,0.0
EQQQ_ETF BNBUSDT,xgb,0.032045467133430164,3217,13,0.06018948554992676,0.75
EQQQ_ETF BNBUSDT,rnn,0.004555180711620827,3217,13,10.988959074020386,-126.375
EQQQ_ETF BNBUSDT,lstm,0.01090990473953837,3217,13,21.814554691314697,4.8828125
EQQQ_ETF BNBUSDT,transformer,0.03188028034611347,3217,13,14.568527698516846,283.87109375
BNBUSDT ADAUSDT,ridge,0.00015043283968301074,31051,9,0.002840757369995117,1.5
BNBUSDT ADAUSDT,xgb,0.00022478811400630135,31051,9,0.059377431869506836,2.0
BNBUSDT ADAUSDT,rnn,0.002678959558851553,31051,9,99.89626550674438,-111.984375
BNBUSDT ADAUSDT,lstm,0.001018947110271271,31051,9,202.74209928512573,5.24609375
BNBUSDT ADAUSDT,transformer,0.002596991941645898,31051,9,51.83870553970337,177.609375
BNBUSDT BTCUSDT,ridge,0.00012299146954810667,31051,9,0.0025615692138671875,0.25
BNBUSDT BTCUSDT,xgb,0.00019225322307331606,31051,9,0.12074160575866699,0.5
BNBUSDT BTCUSDT,rnn,0.000500940496059581,31051,9,85.83990502357483,61.4375
BNBUSDT BTCUSDT,lstm,0.0005438096728941535,31051,9,212.4366319179535,-3.91796875
BNBUSDT BTCUSDT,transformer,0.002506926444871491,31051,9,52.3026659488678,54.6328125
BNBUSDT TRXUSDT,ridge,0.0001484316717292056,31051,12,0.0031359195709228516,0.75
BNBUSDT TRXUSDT,xgb,0.00023016265984540196,31051,12,0.08060383796691895,3.25
BNBUSDT TRXUSDT,rnn,0.0013361091967359908,31051,12,95.37642931938171,-0.33203125
BNBUSDT TRXUSDT,lstm,0.0005171964239317286,31051,12,204.52080869674683,-13.6953125
BNBUSDT TRXUSDT,transformer,0.0006017741462628987,31051,12,55.536869049072266,241.5
BNBUSDT XRPUSDT,ridge,0.00014975517279916162,31051,12,0.002924203872680664,0.0
BNBUSDT XRPUSDT,xgb,0.00020701638441629697,31051,12,0.08217000961303711,0.25
BNBUSDT XRPUSDT,rnn,0.0004395552898440623,31051,12,93.46331262588501,-80.7265625
BNBUSDT XRPUSDT,lstm,0.0009457110394150694,31051,12,211.5474808216095,-11.765625
BNBUSDT XRPUSDT,transformer,0.0036982750331629815,31051,12,55.21911096572876,139.62890625
