pair,best_mse,data_points,features,units,dropout_rate,batch_size
META DAXEX_ETF,0.020920161911053482,1145,15,64,0.25,32
AMZN BNBUSDT,0.0035474225507765435,4991,16,128,0.25,64
AMZN TRXUSDT,0.0016693447265464733,4991,9,64,0.25,32
SPY_ETF AVAXUSDT,0.024208210384744987,4997,21,256,0.25,32
SPY_ETF ETHUSDT,0.002119828077434058,4997,16,256,0.25,32
EQQQ_ETF BNBUSDT,0.0037025754776362496,3217,13,256,0.25,64
BNBUSDT ADAUSDT,0.0004114681685435572,31051,9,64,0.25,32
BNBUSDT BTCUSDT,0.0004637482659422075,31051,9,64,0.25,32
BNBUSDT TRXUSDT,0.0004045832144412739,31051,12,64,0.25,32
BNBUSDT XRPUSDT,0.0003981785253816214,31051,12,64,0.25,64
