pair,best_mse,data_points,features,units,dropout_rate,batch_size
META DAXEX_ETF,0.020831825531522973,1145,15,64,0.25,32
AMZN BNBUSDT,0.003135043590040261,4991,16,256,0.25,64
AMZN TRXUSDT,0.0015958872932011476,4991,9,256,0.25,64
SPY_ETF AVAXUSDT,0.027546105622684617,4997,21,256,0.25,64
SPY_ETF ETHUSDT,0.002031598556784354,4997,16,64,0.25,32
EQQQ_ETF BNBUSDT,0.004200358563575922,3217,13,64,0.25,64
BNBUSDT ADAUSDT,0.0004886655944310675,31051,9,64,0.25,64
BNBUSDT BTCUSDT,0.0004457309214408567,31051,9,128,0.25,32
BNBUSDT TRXUSDT,0.0004920107189026661,31051,12,128,0.25,32
BNBUSDT XRPUSDT,0.0005661934582255052,31051,12,128,0.25,64
