pair,best_mse,data_points,features,num_heads,dropout_rate,batch_size,ff_dim
META DAXEX_ETF,0.040626238278947575,1145,15,2,0.25,32,64
AMZN BNBUSDT,0.012461812709371115,4991,16,2,0.25,64,64
AMZN TRXUSDT,0.003325474438620472,4991,9,2,0.25,64,128
SPY_ETF AVAXUSDT,0.04484387449617753,4997,21,2,0.25,64,64
SPY_ETF ETHUSDT,0.008839441972818324,4997,16,4,0.25,64,64
EQQQ_ETF BNBUSDT,0.02524015386604289,3217,13,2,0.25,64,64
BNBUSDT ADAUSDT,0.000997782916763406,31051,9,4,0.25,64,128
BNBUSDT BTCUSDT,0.001983618254286136,31051,9,2,0.25,32,64
BNBUSDT TRXUSDT,0.0013163828028462546,31051,12,4,0.25,32,64
BNBUSDT XRPUSDT,0.0035076021076534884,31051,12,2,0.25,64,64
